Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.1,1,0.0003511191734215131,0.9,17061,302,0.6786373739996634,59,2848.035868435802,55.274743327391306,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0002310129700083158,0.0,17148,3002,6.891496281999935,148,4328.7612810830615,147.36777670097172,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0002310129700083158,0.5,17066,1502,3.6095644229990285,132,4328.7612810830615,121.1869438939784,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0002310129700083158,0.9,17051,302,1.1954688120003993,76,4328.7612810830615,65.93342604807533,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0001519911082952933,0.0,17012,3002,7.52820791799968,188,6579.332246575683,176.16237445138427,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0001519911082952933,0.5,17064,1502,3.4971384050004417,141,6579.332246575683,145.85648519866535,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0001519911082952933,0.9,17055,302,0.8626480049988459,77,6579.332246575683,78.64743296388606,0.4211839976649836,0.98874600182352,0.6620564660504327
0.1,1,0.0001,0.0,16949,3002,7.195029058000728,170,10000.0,210.58322834930232,0.4263084316629397,0.9762913515152198,1.4234352000019204
0.1,1,0.0001,0.5,16936,1502,4.017143148999821,145,10000.0,175.54790632496153,0.4425845068895689,0.9832098637542601,1.0915580243526826
0.1,1,0.0001,0.9,16975,302,0.9308538829991448,82,10000.0,93.8130942459877,0.4211839976649836,0.98874600182352,0.6620564660504327
