Mesh Size (h),Polynomial Degree d,Interface Width,Offset Percentage,Total DoFs,Interface DoFs,Total Time (s),Iterations,1 / Interface Width,Fit Iterations,Fit Slope,Fit R2,Fit Intercept
0.1,1,0.008111308307896872,0.0,17011,3002,1.1599945190009748,26,123.28467394420659,29.25319861352022,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.008111308307896872,0.5,16943,1502,0.7097962779989757,26,123.28467394420659,27.96812660476976,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.008111308307896872,0.9,16964,302,0.26231483700030367,15,123.28467394420659,17.668212587881953,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.004328761281083062,0.0,16982,3002,1.970065159999649,41,231.0129700083158,38.77145225217812,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.004328761281083062,0.5,16937,1502,0.9977034090006782,34,231.0129700083158,35.64723373179248,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.004328761281083062,0.9,17004,302,0.29962818499916466,19,231.0129700083158,21.845868956928513,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0023101297000831605,0.0,16924,3002,2.892138483000963,55,432.8761281083057,51.38670576174768,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0023101297000831605,0.5,17062,1502,1.165154148999136,42,432.8761281083057,45.43476546306577,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0023101297000831605,0.9,17090,302,0.36053560999971523,25,432.8761281083057,27.011333948438995,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0012328467394420659,0.0,17050,3002,3.3768346019987803,70,811.1308307896873,68.10664485481293,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0012328467394420659,0.5,17055,1502,1.462325164999129,57,811.1308307896873,57.90962429835625,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0012328467394420659,0.9,17058,302,0.5868985820015951,33,811.1308307896873,33.398175330658724,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0006579332246575682,0.0,16996,3002,3.8239396549997764,90,1519.9110829529332,90.26683078082289,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0006579332246575682,0.5,17068,1502,1.9077405800017004,72,1519.9110829529332,73.80965989805482,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0006579332246575682,0.9,17078,302,0.496661970999412,40,1519.9110829529332,41.29518806981697,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0003511191734215135,0.0,17126,3002,8.475826322001012,131,2848.035868435799,119.63738276321664,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0003511191734215135,0.5,17054,1502,2.6553185869997833,107,2848.035868435799,94.07531062882678,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0003511191734215135,0.9,17061,302,0.7063607959989895,59,2848.035868435799,51.059452824542085,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0001873817422860385,0.0,16991,3002,7.589353068999117,180,5336.699231206308,158.56437221315653,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0001873817422860385,0.5,17019,1502,4.497172530000171,138,5336.699231206308,119.90522761023445,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0001873817422860385,0.9,17081,302,0.8245048320004571,71,5336.699231206308,63.132482126826034,0.3379812628553227,0.9483573899890002,1.24455765294601
0.1,1,0.0001,0.0,16949,3002,7.2968310350006504,170,10000.0,210.1572230572293,0.44857526549984833,0.9914155390406753,1.2163250541172
0.1,1,0.0001,0.5,16936,1502,6.236394980000114,145,10000.0,152.8271712541825,0.3863290083372811,0.9781940025789185,1.4710860209136438
0.1,1,0.0001,0.9,16975,302,0.9297223360008502,82,10000.0,78.06018433433444,0.3379812628553227,0.9483573899890002,1.24455765294601
